Assay Definition

Assay Description:
1L BABY Experiment standard count, beginning with run 1L-3
Assay Type: DPM (Single)
Report Name: Standard report
Output Data Path: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20250705_0706\Replay_20250706_115441
Raw Results Path: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20250705_0706\20250705_0706.results
Comma-Delimited File Name: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20250705_0706\Replay_20250706_115441\SLR_BLANK_SCAN_20250705.csv
Assay File Name: C:\Packard\TriCarb\Assays\NEW_Flibe_Long.lsa

Additional Data Files Generated with this Protocol:
Standard report
		[Excel]	SLR_BLANK_SCAN_20250705.csv


Count Conditions

Nuclide: LIBRA UG LLT NM      
   Quench Indicator: tSIE
   External Std Terminator (sec): 0.5 2s%
   Pre-Count Delay (min): 0.00
Quench Set:                   
   Low Energy: 3H-UG-LLT-NM-C
Count Time (min): 100.00
Count Mode: Normal                                          
Assay Count Cycles: 1         Repeat Sample Count: 1        
Number of Vials/Sample: 1     Calculate % Reference: Off                                  


Background Subtract: Off
Low CPM Threshold: Off
2 Sigma % Terminator: Off

Regions         LL       UL
A              0.5      5.0
B              0.5     10.0
C              0.0     18.6


Count Corrections

Static Controller: On         Luminescence Correction: On     GCT: n/a
Colored Samples: Off          Heterogeneity Monitor: Off      PAC: Disabled
Coincidence Time (nsec): 18   Delay Before Burst (nsec): 75   PAC Strength: n/a   Auxiliary Spectrum: n/a


S#,SMPL_ID,Bq:1,CPMA,A:2S%,LUM,tSIE,Eff Nuc1 In A,Count Time,DPM1
1,SLR_BL11,0.294,4.150,9.94,0,273.79,23.54,100,17.632
2,SLR_BL10,0.276,4.130,9.96,0,289.24,24.90,100,16.588
3,SLR_BL9,0.256,4.020,10.07,0,303.83,26.15,100,15.373
4,SLR_BL8,0.243,3.990,10.14,0,319.49,27.34,100,14.593
5,SLR_BL6,0.221,3.920,10.20,0,359.60,29.63,100,13.231
6,SLR_BL4,0.170,3.290,11.23,0,412.20,32.24,100,10.205
7,SLR_BL2,0.178,3.630,10.61,0,479.33,34.07,100,10.655
